kind,key,target,note
tm,adrian|1987,71271,"auto: max mkt value of [44966, 55911, 71271]"
tm,angel|2002,711625,"auto: max mkt value of [711625, 713632, 1124136]"
tm,carlo|2001,627287,"auto: max mkt value of [547743, 627287]"
tm,cristian|1998,355915,"auto: max mkt value of [343916, 343950, 355915]"
tm,dalbert henrique|1993,312862,"auto: max mkt value of [226141, 312862]"
tm,danilo santos|2001,808509,"auto: max mkt value of [697520, 808509]"
tm,david silva|1986,35518,"auto: max mkt value of [35518, 74071, 86759]"
tm,diego gomez|2003,996897,"auto: max mkt value of [971398, 996897]"
tm,diego|2000,371174,"auto: max mkt value of [371174, 490496, 491648]"
tm,fabio|1990,61891,"auto: max mkt value of [61891, 95261, 610248]"
tm,fernandinho|1985,26267,"auto: max mkt value of [26267, 76902]"
tm,fernando|1990,44948,"auto: max mkt value of [44948, 81997, 130452]"
tm,gabriel veiga|2002,699704,"auto: max mkt value of [699704, 906749]"
tm,henrique|1994,204072,"auto: max mkt value of [204072, 349737]"
tm,igor|1998,380350,"auto: max mkt value of [341535, 380350]"
tm,imanol|2000,626954,"auto: max mkt value of [626954, 829968]"
tm,jason|1994,263860,"auto: max mkt value of [177020, 263860]"
tm,joao victor|1998,671145,"auto: max mkt value of [671145, 700168, 935978]"
tm,joshua king|2007,1011131,"auto: max mkt value of [1011131, 1321884]"
tm,liam henderson|1996,193867,"auto: max mkt value of [193867, 328429]"
tm,lucas|2001,463600,"auto: max mkt value of [463600, 464067, 495667]"
tm,luiz felipe|1997,457931,"auto: max mkt value of [457931, 573907]"
tm,martin|1999,341278,"auto: max mkt value of [278404, 319176, 341278]"
tm,marvin|2000,603940,"auto: max mkt value of [447797, 603940, 855842]"
tm,michael amir murillo|1996,354482,"auto: max mkt value of [354482, 520392]"
tm,miguel rodriguez|2003,634427,"auto: max mkt value of [634427, 953634]"
tm,miguel|1999,357161,"auto: max mkt value of [357161, 478366, 480883]"
tm,nacho|1990,58884,"auto: max mkt value of [50669, 58884]"
tm,oscar rodriguez arnaiz|1998,284884,"auto: max mkt value of [284884, 401475]"
tm,pedro diaz|1998,363057,"auto: max mkt value of [363057, 653363]"
tm,pedro|1987,65278,"auto: max mkt value of [34576, 52514, 55837, 65278, 210057]"
tm,pica|2002,895458,"auto: max mkt value of [625088, 895458]"
tm,pierre ekwah elimby|2002,538994,"auto: max mkt value of [538994, 802646]"
tm,raul|2000,631002,"auto: max mkt value of [540308, 631002, 802855]"
tm,ruben|1984,8184,"auto: max mkt value of [8184, 24008]"
tm,ruben|2001,536520,"auto: max mkt value of [536520, 566910, 578421]"
tm,sergi|1992,85370,"auto: max mkt value of [85370, 92947]"
tm,vitinha|2000,487469,"auto: max mkt value of [487469, 586853]"
tm,vitinho|1999,468249,"auto: max mkt value of [468249, 670965]"
